"x","y","trans","vol","min","max","bath","date","site"
-29.5,149.5,"1",11,13.638364369,23.575511937,27.43719,"31-10-2019","JDN"
-28.5,149.5,"1",12,13.182517342,24.145941569,27.43719,"31-10-2019","JDN"
-27.5,149.5,"1",13,12.327803972,24.653047768,27.43719,"31-10-2019","JDN"
-26.5,149.5,"1",15,11.7010140335,25.13518292,27.43719,"31-10-2019","JDN"
-25.5,149.5,"1",15,11.5300713014,25.549345532,27.43719,"31-10-2019","JDN"
-24.5,149.5,"1",14,12.174363381,25.939009154,27.43862,"31-10-2019","JDN"
-23.5,149.5,"1",14,12.467624242,25.593887059,27.43862,"31-10-2019","JDN"
-22.5,149.5,"1",15,11.5632222686,25.332824497,27.43862,"31-10-2019","JDN"
-21.5,149.5,"1",16,10.2233672282,25.661724651,27.43862,"31-10-2019","JDN"
-20.5,149.5,"1",16,10.4735128423,25.505889907,27.43862,"31-10-2019","JDN"
-19.5,149.5,"1",15,11.1932117911,25.601723036,27.42449,"31-10-2019","JDN"
-18.5,149.5,"1",14,12.133725942,25.579607881,27.42449,"31-10-2019","JDN"
-17.5,149.5,"1",14,10.0539678661,25.527502431,27.42449,"31-10-2019","JDN"
-16.5,149.5,"1",12,12.342592971,25.541979366,27.42449,"31-10-2019","JDN"
-15.5,149.5,"1",13,11.9051509853,25.778982328,27.42449,"31-10-2019","JDN"
-14.5,149.5,"1",13,12.098789621,25.66414168,27.42449,"31-10-2019","JDN"
-13.5,149.5,"1",15,11.8654902671,25.71645822,27.42449,"31-10-2019","JDN"
-12.5,149.5,"1",15,11.8229524028,25.742630915,27.42449,"31-10-2019","JDN"
-11.5,149.5,"1",14,11.7685321318,25.108192679,27.42449,"31-10-2019","JDN"
-10.5,149.5,"1",13,11.2250698404,25.031800799,27.42449,"31-10-2019","JDN"
-9.5,149.5,"1",13,11.1172503857,24.954838211,27.42449,"31-10-2019","JDN"
-8.5,149.5,"1",10,13.580952072,25.383944668,27.42449,"31-10-2019","JDN"
